T,U:0,p
"278,75","-9,62E-12",10000
"278,75","-1,02E-11",10000
"278,75","-9,00E-12",10000
"278,75","-8,07E-12",10000
"278,75","-8,78E-12",10000
"278,75","-8,99E-12",10000
"278,75","-8,71E-12",10000
"278,75","-8,68E-12",10000
"278,75","-8,49E-12",10000
"278,75","-8,14E-12",10000
"278,75","-7,83E-12",10000
"278,75","-8,03E-12",10000
"278,75","-7,69E-12",10000
"278,75","-7,88E-12",10000
"278,75","-7,49E-12",10000
"278,75","-7,09E-12",10000
"278,75","-6,88E-12",10000
"278,75","-6,84E-12",10000
"278,75","-6,82E-12",10000
"278,75","-6,69E-12",10000
"278,75","-6,34E-12",10000
"278,75","-7,26E-12",10000
"278,75","-6,04E-12",10000
"278,75","-5,13E-12",10000
"278,75","-4,69E-12",10000
"278,75","-5,65E-12",10000
"278,75","-6,30E-12",10000
"278,75","-6,87E-12",10000
"278,75","-6,83E-12",10000
"278,75","-6,05E-12",10000
"278,75","-4,81E-12",10000
"278,75","-4,23E-12",10000
"278,75","-4,03E-12",10000
"278,75","-3,91E-12",10000
"278,75","-3,45E-12",10000
"278,75","-3,09E-12",10000
"278,75","-2,86E-12",10000
"278,75","-3,23E-12",10000
"278,75","-3,65E-12",10000
"278,75","-4,42E-12",10000
"278,75","-2,89E-12",10000
"278,75","-3,42E-12",10000
"278,75","-2,85E-12",10000
"278,75","-1,77E-12",10000
"278,75","-1,69E-12",10000
"278,75","-1,58E-12",10000
"278,75","-1,63E-12",10000
"278,75","-8,85E-13",10000
"278,75","-1,02E-13",10000
"278,75","6,44E-14",10000
"278,75","-2,33E-13",10000
"278,75","-9,84E-13",10000
"278,75","-4,75E-14",10000
"278,75","1,03E-12",10000
"278,75","1,27E-12",10000
"278,75","2,47E-13",10000
"278,75","1,39E-13",10000
"278,75","1,15E-12",10000
"278,75","2,65E-13",10000
"278,75","5,25E-13",10000
"278,75","1,24E-12",10000
"278,75","9,12E-13",10000
"278,75","1,35E-12",10000
"278,75","1,30E-12",10000
"278,75","1,77E-12",10000
"278,75","1,65E-12",10000
"278,75","1,28E-12",10000
"278,75","1,24E-12",10000
"278,75","8,43E-13",10000
"278,75","6,59E-13",10000
"278,75","1,93E-12",10000
"278,75","3,08E-12",10000
"278,75","4,74E-12",10000
"278,75","4,61E-12",10000
"278,75","2,98E-12",10000
