# Region      : all 
# Cells       : 7700
# Volume      : 4.962599e-03
# Time        	volIntegrate(alpha.water)
0.634331      	6.056474e-04
0.634984      	6.056459e-04
0.635667      	6.056444e-04
0.636349      	6.056429e-04
0.637032      	6.056414e-04
0.637752      	6.056398e-04
0.638473      	6.056382e-04
0.639193      	6.056367e-04
0.639914      	6.056352e-04
0.64069       	6.056337e-04
0.641465      	6.056322e-04
0.642241      	6.056308e-04
0.643017      	6.056295e-04
0.643793      	6.056282e-04
0.644569      	6.056270e-04
0.645345      	6.056258e-04
0.646121      	6.056246e-04
0.646897      	6.056235e-04
0.647672      	6.056224e-04
0.648448      	6.056214e-04
0.649224      	6.056203e-04
0.649612      	6.056198e-04
0.65          	6.056193e-04
0.650463      	6.056187e-04
0.651001      	6.056181e-04
0.651614      	6.056174e-04
0.652295      	6.056166e-04
0.653029      	6.056158e-04
0.653752      	6.056150e-04
0.654486      	6.056143e-04
0.65522       	6.056135e-04
0.655942      	6.056129e-04
0.656665      	6.056122e-04
0.657387      	6.056116e-04
0.658122      	6.056109e-04
0.658869      	6.056103e-04
0.659604      	6.056097e-04
0.660352      	6.056091e-04
0.661114      	6.056085e-04
0.661892      	6.056079e-04
0.662686      	6.056074e-04
0.663515      	6.056068e-04
0.664384      	6.056063e-04
0.665297      	6.056058e-04
0.666235      	6.056053e-04
0.667228      	6.056048e-04
0.668252      	6.056043e-04
0.669276      	6.056038e-04
0.670301      	6.056033e-04
0.671361      	6.056028e-04
0.672384      	6.056024e-04
0.67337       	6.056019e-04
0.674289      	6.056016e-04
0.675175      	6.056012e-04
0.676062      	6.056009e-04
0.676948      	6.056006e-04
0.677835      	6.056003e-04
0.678722      	6.056001e-04
0.679647      	6.055998e-04
0.680572      	6.055996e-04
0.681497      	6.055993e-04
0.682471      	6.055991e-04
0.683502      	6.055988e-04
0.684533      	6.055985e-04
0.685564      	6.055983e-04
0.686595      	6.055981e-04
0.687712      	6.055978e-04
0.688829      	6.055976e-04
0.689947      	6.055973e-04
0.691064      	6.055971e-04
0.692181      	6.055969e-04
0.693298      	6.055967e-04
0.694255      	6.055966e-04
0.695213      	6.055964e-04
0.69617       	6.055963e-04
0.697128      	6.055961e-04
0.698085      	6.055960e-04
0.699043      	6.055959e-04
0.7           	6.055957e-04
0.700962      	6.055956e-04
0.701905      	6.055955e-04
0.702848      	6.055954e-04
0.703772      	6.055953e-04
0.704697      	6.055952e-04
0.705621      	6.055951e-04
0.706546      	6.055951e-04
0.70747       	6.055950e-04
0.708395      	6.055949e-04
0.709363      	6.055948e-04
0.710354      	6.055948e-04
0.71137       	6.055947e-04
0.712387      	6.055946e-04
0.713432      	6.055945e-04
0.714507      	6.055944e-04
0.715583      	6.055943e-04
0.716658      	6.055943e-04
0.71777       	6.055942e-04
0.718881      	6.055941e-04
